name	pos	part	name_agreement_percent	H	subjective_complexity	familiarity	age_of_acquisition	imageability	image_agreement	frequency	frequency_log	syllables	phonemes	arguments	reflexivity	instrumentality	name_relation
21. банка (a jar)	noun	1	99	0.08	1.66	4.45	1.53	1.1	4.47	49	1.6989700043	2	5	NR	NR	NR	NR
22. бант (a bow)	noun	1	89	0.65	3.13	3.86	1.45	1.07	3.08	5.2	0.7923916895	1	4	NR	NR	NR	NR
23. барабан (a drum)	noun	1	98	0.16	2.55	3.57	1.58	1.11	4.49	15.7	1.2227164711	3	7	NR	NR	NR	NR
24. баран (a ram)	noun	1	79	0.91	2.94	3.47	1.73	1.18	4	8.9	0.9956351946	2	5	NR	NR	NR	NR
25. бассейн (a pool)	noun	2	73	1.47	3.54	3.49	2.12	1.15	3.37	33.4	1.5365584426	2	6	NR	NR	NR	NR
26. батарея (a radiator)	noun	2	80	0.84	3.01	4.52	1.84	1.08	4.82	28.7	1.4727564493	4	8	NR	NR	NR	NR
27. башня (a tower)	noun	2	93	0.43	3.14	3.31	2.11	1.32	4.26	39.4	1.6063813651	2	5	NR	NR	NR	NR
28. бегемот (a hippopotamus)	noun	1	81	0.84	2.74	3.15	1.62	1.15	4.13	3	0.6020599913	3	7	NR	NR	NR	NR
29. белка (a squirrel)	noun	1	99	0.08	3.19	3.71	1.58	1.04	4.71	11.6	1.1003705451	2	5	NR	NR	NR	NR
30. береза (a birch)	noun	2	78	0.97	2.31	4.43	1.52	1.05	3.19	20.3	1.3283796034	3	6	NR	NR	NR	NR
31. билет (a ticket)	noun	1	72	1.26	3.28	3.91	2	1.21	2.55	75.4	1.8830933586	2	5	NR	NR	NR	NR
32. бинокль (binoculars)	noun	1	100	0	3.04	3.48	2.32	1.12	4.59	10.6	1.0644579892	2	6	NR	NR	NR	NR
33. бита (a batt)	noun	2	95	0.36	2.4	3.13	3.65	1.43	4.67	1.3	0.361727836	2	4	NR	NR	NR	NR
34. блины (pancakes)	noun	2	96	0.32	3.68	4.58	1.37	1.03	4.82	12.8	1.1398790864	2	5	NR	NR	NR	NR
35. блокнот (a notebook)	noun	2	97	0.22	2.99	4.57	2.26	1.12	4.52	12.8	1.1398790864	2	7	NR	NR	NR	NR
36. бобер (a beaver)	noun	2	73	1	3.31	2.84	2.16	1.37	3.23	2.6	0.5563025008	2	5	NR	NR	NR	NR
37. бокал (1) (a wineglass)	noun	1	85	0.79	1.76	4.19	2.41	1.15	3.85	26.1	1.4329692909	2	5	NR	NR	NR	NR
38. боксер (a boxer)	noun	1	96	0.3	2.99	3.55	2.56	1.34	3.93	5.3	0.7993405495	2	6	NR	NR	NR	NR
39. больной (a patient)	noun	2	63	2.16	3.38	3.36	1.53	1.56	2.97	93.4	1.9749719943	2	6	NR	NR	NR	NR
40. ботинки (boots)	noun	2	86	0.85	2.71	4.68	1.33	1.09	4.24	39.1	1.6031443726	3	7	NR	NR	NR	NR
41. ботинок (a boot)	noun	2	68	1.25	2.84	4.28	1.28	1.06	4.02	39.1	1.6031443726	3	7	NR	NR	NR	NR
42. бочка (a barrel)	noun	1	95	0.29	2.85	3.42	1.8	1.07	4.17	26.6	1.4409090821	2	5	NR	NR	NR	NR
43. браслет (a bracelet)	noun	1	85	1.02	3.54	3.96	2.12	1.22	3.32	6.7	0.8864907252	2	7	NR	NR	NR	NR
44. бритва (1) (a razor)	noun	1	69	1.37	2.63	3.38	2.33	1.3	1.97	8.2	0.9637878273	2	6	NR	NR	NR	NR
45. брюки (trousers)	noun	1	85	0.66	2.06	4.87	1.81	1.17	4.5	37.2	1.5820633629	2	5	NR	NR	NR	NR
46. бубен (a tambourine)	noun	1	97	0.24	2.32	3.48	2.19	1.34	4.36	2.9	0.591064607	2	5	NR	NR	NR	NR
47. будка (a doghouse)	noun	1	55	0.99	2.73	3.03	1.9	1.22	4.27	15.6	1.220108088	2	5	NR	NR	NR	NR
48. букет (a flower bouquet)	noun	1	81	0.94	3.3	4.53	1.84	1.18	3.78	20.5	1.3324384599	2	5	NR	NR	NR	NR
49. булавка (a pin)	noun	1	98	0.16	2.36	4.23	2.1	1.09	4.59	4.9	0.7708520116	3	7	NR	NR	NR	NR
50. буратино (a pinocchio)	noun	1	86	0.83	3.72	3.87	1.62	1.12	4.35	2.1	0.4913616938	4	8	NR	NR	NR	NR
51. бусы (a necklace)	noun	1	68	1.23	3.03	3.9	1.61	1.06	3.75	4.3	0.7242758696	2	4	NR	NR	NR	NR
52. бутерброд (1) (a sandwich)	noun	1	98	0.16	2.88	4.81	1.78	1.11	3.52	14.4	1.1875207208	3	9	NR	NR	NR	NR
53. бутылка (a bottle)	noun	1	95	0.4	1.68	4.74	1.54	1.11	4.23	117.1	2.0722498976	3	7	NR	NR	NR	NR
54. бык (a bull)	noun	1	91	0.55	3.29	2.91	1.78	1.1	4.49	22.2	1.3654879849	1	3	NR	NR	NR	NR
55. бюст (a bust)	noun	2	72	1.32	3.2	3.41	3.08	1.45	3.83	7.4	0.9242792861	1	4	NR	NR	NR	NR
56. ваза (a vase)	noun	1	96	0.32	3.06	4.29	1.58	1.14	2.88	14.3	1.1846914308	2	4	NR	NR	NR	NR
57. вампир (a vampire)	noun	1	71	1.92	3.39	2.9	3.39	1.74	2.93	4	0.6989700043	2	6	NR	NR	NR	NR
58. ванна (a bath)	noun	2	74	1.22	2.6	4.84	1.23	1.05	3.47	22	1.361727836	2	4	NR	NR	NR	NR
59. ванная (a bathroom)	noun	2	79	1.3	3.09	4.88	1.44	1.11	3.4	26.2	1.434568904	3	6	NR	NR	NR	NR
60. варежка (a mitten)	noun	1	92	0.48	2.9	4.45	1.2	1.07	4.13	4.2	0.7160033436	3	7	NR	NR	NR	NR
61. варенье (jam)	noun	2	48	2.08	2.74	4.24	1.41	1.15	4.28	12.9	1.1430148003	3	7	NR	NR	NR	NR
62. ведро (a bucket)	noun	2	98	0.16	2.46	4.12	1.32	1.05	4.12	34.1	1.5453071165	2	5	NR	NR	NR	NR
63. ведьма (a witch)	noun	2	75	1.16	3.43	3.35	2	1.32	2.96	12.1	1.1172712957	2	5	NR	NR	NR	NR
64. веер (a fan)	noun	1	99	0.08	2.73	3.82	2.28	1.12	4.48	6.6	0.8808135923	2	5	NR	NR	NR	NR
65. велосипед (1) (a bicycle)	noun	1	100	0	3.55	4.52	1.66	1.1	4.24	23.1	1.3820170426	4	9	NR	NR	NR	NR
66. веник (a broom)	noun	1	93	0.45	2.77	4.41	1.55	1.06	4.67	7.7	0.9395192526	2	5	NR	NR	NR	NR
67. венок (a wreath)	noun	1	100	0	3.85	3.27	2.1	1.14	3.91	9.1	1.0043213738	2	5	NR	NR	NR	NR
68. веранда (a terrace)	noun	2	51	1.55	3.98	3.72	2.43	1.73	3.26	13.5	1.1613680022	3	7	NR	NR	NR	NR
69. верблюд (a camel)	noun	1	99	0.08	3.49	3.19	1.92	1.09	4.72	11.2	1.0863598307	2	7	NR	NR	NR	NR
70. веревка (a rope)	noun	2	86	0.92	3.32	3.89	1.6	1.13	4.26	31.8	1.5158738437	3	7	NR	NR	NR	NR
71. вертолет (a helicopter)	noun	1	99	0.08	3.27	3.55	2.01	1.15	3.93	38.7	1.5987905068	3	8	NR	NR	NR	NR
72. весло (an oar)	noun	2	80	1.14	2.96	2.62	2.25	1.11	3.99	9.9	1.0374264979	2	5	NR	NR	NR	NR
73. весы (a weighing scale)	noun	2	100	0	3.24	3.67	2.06	1.16	3.18	14.2	1.1818435879	2	4	NR	NR	NR	NR
74. ветка (a branch)	noun	2	91	0.48	2.46	4.53	1.36	1.08	4.56	39.7	1.6095944092	2	5	NR	NR	NR	NR
75. вешалка (a clothes hanger)	noun	1	75	0.87	1.97	4.87	1.82	1.27	3.96	8.8	0.9912260757	3	7	NR	NR	NR	NR
76. вилка (a fork)	noun	2	100	0	2.33	4.85	1.21	1.01	4.51	16	1.2304489214	2	5	NR	NR	NR	NR
77. вино (wine)	noun	1	77	1.31	3.18	4.19	2.47	1.29	3.9	80.9	1.9132839018	2	4	NR	NR	NR	NR
78. виноград (grapes)	noun	1	88	0.73	3.46	4.15	1.81	1.05	4.09	10.4	1.0569048513	3	8	NR	NR	NR	NR
79. вишня (a cherry)	noun	2	78	1.27	2.16	4.56	1.61	1.02	3.82	7.5	0.9294189257	2	5	NR	NR	NR	NR
80. водитель (a driver)	noun	2	67	1.56	2.9	4.06	1.91	1.29	3.08	65.9	1.8254261178	3	7	NR	NR	NR	NR
81. водолаз (a diver)	noun	2	39	2.29	3.41	2.29	2.68	1.36	3.6	3.5	0.6532125138	3	7	NR	NR	NR	NR
82. водопад (a waterfall)	noun	2	99	0.08	3.55	3.27	2.46	1.16	4.28	7.3	0.9190780924	3	7	NR	NR	NR	NR
83. волк (a wolf)	noun	2	77	1.39	2.53	3.71	1.2	1.18	2.7	36.1	1.5693739096	1	4	NR	NR	NR	NR
84. волосы (hair)	noun	1	57	1.76	3.21	4.49	1.23	1.2	3.31	141.8	2.1547282074	3	6	NR	NR	NR	NR
85. ворона (a crow)	noun	2	51	1.9	3.39	3.93	1.29	1.05	4.1	12.6	1.1335389084	3	6	NR	NR	NR	NR
86. воротник (a collar)	noun	1	79	1.18	3.44	3.4	1.99	1.26	2.43	17.7	1.2718416065	3	8	NR	NR	NR	NR
87. врач (a doctor)	noun	2	77	1.06	2.96	4.11	1.49	1.18	4.01	173.1	2.2407987711	1	4	NR	NR	NR	NR
88. выключатель (a switch)	noun	2	89	0.79	2.62	4.65	1.64	1.09	3.88	5.1	0.785329835	4	10	NR	NR	NR	NR
89. вымя (an udder)	noun	1	98	0.16	2.57	2.68	2.53	1.33	4.36	1.7	0.4313637642	2	4	NR	NR	NR	NR
90. газета (1) (a newspaper)	noun	1	100	0	3.15	4.49	1.72	1.05	4.09	237.5	2.3774883834	3	6	NR	NR	NR	NR
91. гайка (a nut)	noun	2	81	1.16	2.44	3.19	2.41	1.23	4.64	5.2	0.7923916895	2	5	NR	NR	NR	NR
92. галстук (a tie)	noun	1	98	0.14	2.44	3.84	2.42	1.11	4.31	28	1.4623979979	2	7	NR	NR	NR	NR
93. гантеля (a dumbbell)	noun	2	71	1.28	2.06	3.87	2.51	1.25	4.53	1.3	0.361727836	3	7	NR	NR	NR	NR
94. гвоздь (a nail)	noun	1	98	0.16	2.24	4.22	1.81	1.03	4.82	24.2	1.4014005408	1	5	NR	NR	NR	NR
95. гиря (a kettlebell)	noun	1	92	0.48	1.99	3.42	2.39	1.19	3.88	4.4	0.7323937598	2	4	NR	NR	NR	NR
96. гитара (a guitar)	noun	2	100	0	2.67	4.06	1.98	1.1	4.61	22.2	1.3654879849	3	6	NR	NR	NR	NR
97. глаз (1) (an eye)	noun	1	95	0.35	2.5	4.93	1.13	1.1	4.01	857.6	2.9337908841	1	4	NR	NR	NR	NR
98. глобус (a globe)	noun	1	100	0	3.05	4.07	2.48	1.12	4.96	5.5	0.8129133566	2	6	NR	NR	NR	NR
99. гном (a dwarf)	noun	1	94	0.4	3.73	3.3	1.87	1.2	3.98	5	0.7781512504	1	4	NR	NR	NR	NR
100. голова (a head)	noun	1	68	1.84	2.01	4.16	1.14	1.14	3.69	709.4	2.8515029528	3	6	NR	NR	NR	NR
101. голубь (a pigeon)	noun	1	91	0.57	3.28	4.5	1.46	1.06	3.67	13.7	1.1673173347	2	5	NR	NR	NR	NR
102. гора (a mountain)	noun	1	86	0.88	2.83	3.78	1.67	1.05	3.73	115.5	2.0663259254	2	4	NR	NR	NR	NR
103. горох (peas)	noun	1	88	0.67	2.91	4.2	1.66	1.13	4.59	6.4	0.8692317197	2	5	NR	NR	NR	NR
104. грабли (a rake)	noun	2	100	0	2.39	3.64	1.89	1.09	4.93	3.7	0.6720978579	2	6	NR	NR	NR	NR
105. гранат (a pomegranate)	noun	2	99	0.08	3.76	4.15	2.34	1.16	4.5	2.5	0.5440680444	2	6	NR	NR	NR	NR
106. грибы (mushrooms)	noun	2	93	0.45	2.12	4.34	1.53	1.13	3.88	38.3	1.5943925504	2	5	NR	NR	NR	NR
107. гроб (a coffin)	noun	1	100	0	2.58	3.49	2.43	1.23	4.27	50	1.7075701761	1	4	NR	NR	NR	NR
108. грудь (a breast)	noun	1	83	1.07	2.31	4.74	2.1	1.1	3.79	138.8	2.1455071714	1	4	NR	NR	NR	NR
109. грузовик (a lorry)	noun	1	87	0.82	3.03	4.09	1.58	1.09	3.92	30.6	1.4996870826	3	8	NR	NR	NR	NR
110. груша (a pear)	noun	2	100	0	1.99	4.47	1.3	1.01	4.78	10.6	1.0644579892	2	5	NR	NR	NR	NR
111. гусеница (a caterpillar)	noun	2	98	0.16	3.73	3.39	1.57	1.12	4.25	10.6	1.0644579892	4	8	NR	NR	NR	NR
112. дверь (a door)	noun	1	93	0.48	3.11	4.78	1.19	1.04	3.82	450.8	2.6549462266	1	4	NR	NR	NR	NR
113. двигатель (an engine)	noun	2	55	2.24	4.28	2.43	2.93	2.15	4.11	67	1.8325089127	3	8	NR	NR	NR	NR
114. дворник (a yard-keeper)	noun	2	95	0.4	3.25	3.92	1.99	1.24	4.38	13.2	1.1522883444	2	7	NR	NR	NR	NR
115. девочка (a girl)	noun	2	90	0.67	2.56	4.43	1.07	1.04	3.85	185.1	2.2697463731	3	7	NR	NR	NR	NR
116. дельфин (a dolphin)	noun	2	94	0.46	3.21	3.43	2.01	1.09	4.27	7.6	0.9344984512	2	6	NR	NR	NR	NR
117. деньги (money)	noun	2	64	1.5	3.43	4.71	1.69	1.17	3.78	512.4	2.7104558643	2	5	NR	NR	NR	NR
118. дерево (1) (a tree)	noun	2	90	0.75	2.66	4.61	1.1	1.05	3.91	171.9	2.2377949933	3	6	NR	NR	NR	NR
119. дерево (2) (a tree)	noun	2	91	0.62	3.4	4.72	1.05	1.01	4.17	171.9	2.2377949933	3	6	NR	NR	NR	NR
120. джинн (a jinn)	noun	1	96	0.27	3.71	2.82	2.37	1.52	3.52	3.1	0.6127838567	1	4	NR	NR	NR	NR
121. джинсы (jeans)	noun	1	57	1.42	2.99	4.87	2.95	1.13	3.83	19.4	1.3096301674	2	6	NR	NR	NR	NR
122. диван (a sofa)	noun	1	98	0.14	2.82	4.84	1.45	1.13	4.2	60.1	1.7860412102	2	5	NR	NR	NR	NR
123. динамит (a dynamite)	noun	2	68	1.67	2.62	2.41	3.11	1.83	4.15	1.6	0.414973348	3	7	NR	NR	NR	NR
124. диск (a disk)	noun	1	85	1.04	2.94	4.55	3.28	1.35	3.54	26.3	1.436162647	1	4	NR	NR	NR	NR
125. дождь (rain)	noun	1	83	1.25	2.85	4.68	1.2	1.21	3.67	83.2	1.9253120915	1	4	NR	NR	NR	NR
126. дом (a house)	noun	1	86	0.74	2.99	4.64	1.16	1.09	4.03	792.6	2.8996016591	1	3	NR	NR	NR	NR
127. домино (dominoes)	noun	1	99	0.08	2.3	3.99	2.24	1.25	4.34	3.4	0.6434526765	3	6	NR	NR	NR	NR
128. дорога (a road)	noun	1	80	1.06	3.06	4.85	1.31	1.1	3.57	330.1	2.5199591808	3	6	NR	NR	NR	NR
129. дракон (a dragon)	noun	1	95	0.38	3.53	3.35	2.16	1.44	3.27	16.6	1.2455126678	2	6	NR	NR	NR	NR
130. дрель (a drill)	noun	2	86	0.86	3.17	3.31	2.95	1.34	4.58	1.4	0.3802112417	1	4	NR	NR	NR	NR
131. дуршлаг (a colander)	noun	2	88	0.67	3.09	4.11	2.55	1.16	4.15	1.2	0.3424226808	2	7	NR	NR	NR	NR
132. духи (perfume)	noun	1	87	0.69	2.36	4.19	2.27	1.34	3.82	22.3	1.367355921	2	4	NR	NR	NR	NR
133. душ (a shower)	noun	2	91	0.67	2.9	4.86	1.84	1.12	4.55	16.1	1.2329961104	1	3	NR	NR	NR	NR
134. дятел (a woodpecker)	noun	1	97	0.24	3.58	3.59	2.03	1.23	4.63	3.1	0.6127838567	2	5	NR	NR	NR	NR
135. единорог (an unicorn)	noun	1	95	0.38	3.96	2.93	2.92	1.18	4.3	1.2	0.3424226808	4	9	NR	NR	NR	NR
136. еж (a hedgehog)	noun	1	77	0.78	2.47	3.75	1.6	1.05	4.18	7.5	0.9294189257	1	3	NR	NR	NR	NR
137. елка (a fir tree)	noun	1	50	1.35	3.31	4.32	1.15	1.02	3.84	22.3	1.367355921	2	5	NR	NR	NR	NR
138. енот (a racoon)	noun	1	95	0.36	3.15	3.19	2.51	1.56	3.45	0.9	0.278753601	2	5	NR	NR	NR	NR
139. ершик (a bottle brush)	noun	2	33	3.47	2.59	3.26	2.77	1.3	3.44	0.4	0.1461280357	2	6	NR	NR	NR	NR
140. жалюзи (a window blind)	noun	1	97	0.22	2.84	4.19	4.12	1.36	4.36	2.1	0.4913616938	3	6	NR	NR	NR	NR
141. жвачка (a chewing gum)	noun	1	91	0.6	3.05	4.42	2.16	1.25	3.65	3.7	0.6720978579	2	6	NR	NR	NR	NR
142. живот (a belly)	noun	1	83	1.07	2.84	4.71	1.17	1.25	4.14	65.6	1.8234742292	2	5	NR	NR	NR	NR
143. жилет (a waistcoat)	noun	1	75	1.24	2.8	3.38	2.45	1.16	3.61	5	0.7781512504	2	5	NR	NR	NR	NR
144. жираф (a giraffe)	noun	1	98	0.16	3.11	3.65	1.65	1.13	4.39	2.6	0.5563025008	2	5	NR	NR	NR	NR
145. жук (a beetle)	noun	2	85	0.86	2.77	3.24	1.26	1.1	4.21	11.7	1.103803721	1	3	NR	NR	NR	NR
146. журнал (1) (a magazine)	noun	1	99	0.08	3.08	4.38	2.2	1.22	3.92	162	2.2121876044	2	6	NR	NR	NR	NR
147. завод (a factory)	noun	1	78	1.37	3.56	3.56	2.45	1.65	3.31	164	2.2174839442	2	5	NR	NR	NR	NR
148. зажигалка (a lighter)	noun	2	98	0.14	3.03	3.86	2.86	1.14	3.69	10.7	1.0681858617	4	9	NR	NR	NR	NR
149. заключенный (a prisoner)	noun	2	81	1.08	2.65	2.2	3.11	1.5	3.55	26.4	1.4377505628	4	10	NR	NR	NR	NR
150. замОк (a lock)	noun	1	100	0	2.33	4.08	1.73	1.09	4.49	60.8	1.7909884751	2	5	NR	NR	NR	NR
151. зАмок (1) (a fortress)	noun	2	58	1.29	3.08	3.7	1.95	1.24	3.56	60.8	1.7909884751	2	5	NR	NR	NR	NR
152. зАмок (2) (a castle)	noun	2	80	1.25	3.4	3.37	1.75	1.13	4.13	60.8	1.7909884751	2	5	NR	NR	NR	NR
153. звезда (a star)	noun	1	100	0	2.07	4.01	1.54	1.08	3.86	122.7	2.0923696996	2	6	NR	NR	NR	NR
154. зебра (a zebra)	noun	1	99	0.08	2.9	3.69	1.7	1.05	4.65	1.9	0.4623979979	2	5	NR	NR	NR	NR
155. зеркало (1) (a mirror)	noun	1	95	0.4	2.85	4.15	1.33	1.15	1.87	70.5	1.8543060418	3	7	NR	NR	NR	NR
156. зерно (grains)	noun	2	33	2.94	3.36	3.6	1.98	1.28	3.08	30.3	1.4955443375	2	5	NR	NR	NR	NR
157. змея (a snake)	noun	2	94	0.43	3.39	3.03	1.59	1.06	4.27	20.5	1.3324384599	2	5	NR	NR	NR	NR
158. золото (gold)	noun	1	39	2.05	2.96	2.9	2.11	1.73	3.59	56.2	1.7573960288	3	6	NR	NR	NR	NR
159. зонт (1) (an umbrella)	noun	1	92	0.4	2.52	4.51	1.55	1.05	4.75	5.1	0.785329835	1	4	NR	NR	NR	NR
160. игла (a needle)	noun	2	63	1.21	1.8	4.23	1.8	1.01	4.7	14.3	1.1846914308	2	4	NR	NR	NR	NR
161. иероглиф (an hieroglyph)	noun	1	93	0.51	2.91	2.96	3.28	1.37	4	4.8	0.7634279936	4	9	NR	NR	NR	NR
162. икона (an icon)	noun	2	97	0.24	2.97	3.76	2.44	1.17	4.39	36.2	1.5705429399	3	5	NR	NR	NR	NR
163. икра (caviar)	noun	2	31	3.86	3.15	3.49	2.1	1.24	4.15	15.5	1.2174839442	2	4	NR	NR	NR	NR
164. иллюминатор (a porthole)	noun	2	87	0.9	2.43	3.67	2.86	1.31	4.17	6.1	0.8512583487	5	10	NR	NR	NR	NR
165. кабан (a boar)	noun	1	89	0.62	3.51	2.9	2.38	1.49	4.45	5.3	0.7993405495	2	5	NR	NR	NR	NR
166. кабинет (an office room)	noun	2	70	1.37	3.74	3.96	2.25	1.47	3.18	148.5	2.1746411927	3	7	NR	NR	NR	NR
167. казино (a casino)	noun	2	83	1.25	4.18	2.68	3.61	1.8	3.77	11.7	1.103803721	3	6	NR	NR	NR	NR
168. кактус (a cactus)	noun	1	98	0.16	2.73	4.47	2.15	1.12	4.03	4.6	0.748188027	2	6	NR	NR	NR	NR
169. календарь (a calendar)	noun	1	96	0.32	2.32	4.3	2.16	1.45	3.28	15	1.2041199827	3	8	NR	NR	NR	NR
170. камера (a prison cell)	noun	2	84	0.87	3.22	2.35	2.67	1.49	2.06	67.9	1.8382192219	3	6	NR	NR	NR	NR
171. камин (a fireplace)	noun	1	95	0.32	3.57	3.65	2.84	1.44	3.54	11.2	1.0863598307	2	5	NR	NR	NR	NR
172. камыш (scripus)	noun	1	69	1.61	2.72	3.31	2.23	1.14	4.34	5.3	0.7993405495	2	5	NR	NR	NR	NR
173. капля (a drop)	noun	1	80	0.87	2.46	4.49	1.66	1.16	4.06	44.7	1.6599162001	2	5	NR	NR	NR	NR
174. капсула (a capsule)	noun	1	46	1.6	2.33	3.83	3.48	1.66	4	4.6	0.748188027	3	7	NR	NR	NR	NR
175. капуста (a cabbage)	noun	2	88	0.86	2.78	4.05	1.46	1.13	3.39	21.7	1.3560258572	3	7	NR	NR	NR	NR
176. карандаш (a pencil)	noun	1	100	0	1.86	4.71	1.38	1	4.89	46.6	1.6776069527	3	8	NR	NR	NR	NR
177. карета (a carriage)	noun	1	100	0	3.76	2.66	1.95	1.12	4.43	9.4	1.0170333393	3	6	NR	NR	NR	NR
178. карман (a pocket)	noun	1	99	0.08	2.21	4.7	1.47	1.14	3.68	120.5	2.0845762779	2	6	NR	NR	NR	NR
179. карта (a map)	noun	2	99	0.08	2.95	4.1	2	1.09	4.3	103	2.0170333393	2	5	NR	NR	NR	NR
180. картина (a picture)	noun	2	76	1.1	2.82	4.16	1.58	1.23	4.11	183.9	2.2669369112	3	7	NR	NR	NR	NR
181. картофель (potatoes)	noun	1	65	1.13	1.86	4.73	1.6	1.07	3.88	12.3	1.123851641	3	8	NR	NR	NR	NR
182. каска (a helmet)	noun	1	92	0.4	2.81	3.17	2.42	1.18	3.97	8.1	0.9590413923	2	5	NR	NR	NR	NR
183. касса (a ticket office)	noun	2	75	1.43	2.58	4.41	2.11	1.4	2.86	20.9	1.3404441148	2	4	NR	NR	NR	NR
184. кассета (a cassette)	noun	2	84	0.63	2.32	3.93	2.71	1.23	4.5	16.3	1.2380461031	3	6	NR	NR	NR	NR
185. кастрюля (a saucepan)	noun	1	100	0	2.34	4.84	1.48	1.03	4.56	15.9	1.2278867046	3	8	NR	NR	NR	NR
186. катушка (a bobbin)	noun	2	87	0.9	2.41	3.15	2.28	1.25	4.3	8.4	0.9731278536	3	7	NR	NR	NR	NR
187. качели (a swing)	noun	2	99	0.08	2.88	4.24	1.23	1.07	4.29	5.1	0.785329835	3	6	NR	NR	NR	NR
188. квадрат (a square)	noun	1	98	0.16	1.23	4.5	1.65	1	4.95	16.9	1.252853031	2	7	NR	NR	NR	NR
189. кекс (a cupcake)	noun	1	84	0.91	2.73	4.21	2.34	1.23	4.26	1.1	0.3222192947	1	4	NR	NR	NR	NR
190. кенгуру (a kangaroo)	noun	1	100	0	3.37	2.94	2.1	1.19	4.58	2.1	0.4913616938	3	7	NR	NR	NR	NR
191. кепка (a baseball cap)	noun	1	88	0.58	2.11	4.29	2	1.12	3.89	12.1	1.1172712957	2	5	NR	NR	NR	NR
192. киви (a kiwi fruit)	noun	2	99	0.08	3.98	4.18	3.46	1.09	4.53	0.8	0.2552725051	2	4	NR	NR	NR	NR
193. киоск (a stall)	noun	2	50	1.45	3.1	4.19	2.23	1.42	3.98	13.4	1.1583624921	2	5	NR	NR	NR	NR
194. кисть (a brush)	noun	1	63	1.02	2.53	4.27	2.03	1.2	4.24	26.1	1.4329692909	1	4	NR	NR	NR	NR
195. кит (a whale)	noun	1	95	0.32	2.91	3.36	1.69	1.13	4.12	10.7	1.0681858617	1	3	NR	NR	NR	NR
196. клавиатура (a keyboard)	noun	2	99	0.08	3.11	4.82	3.86	1.01	4.17	4.8	0.7634279936	5	10	NR	NR	NR	NR
197. клетка (a cage)	noun	2	97	0.22	3.84	2.86	1.93	1.19	3.38	109.6	2.043755127	2	6	NR	NR	NR	NR
198. клоун (a clown)	noun	1	98	0.16	2.96	3.44	1.82	1.39	4	13.9	1.1731862684	2	5	NR	NR	NR	NR
